"feature"
"employment_status_Unemployed"
"debt_to_income_ratio_logit"
"credit_score"
"employment_status_Student"
"employment_status_Retired"
"debt_to_income_ratio"
"grade_letter_ord"
"education_level_Bachelor.s"
"interest_rate"
"loan_purpose_Home"
"loan_purpose_Education"
"loan_purpose_Debt.consolidation"
"loan_purpose_Medical"
"grade_number"
"gender_Female"
"marriage_experience"
"annual_income_log"
"education_level_High.School"
"education_level_PhD"
